date,quarter,day_of_week,neighborhood,bike_cost,location,long,lat
2014-01-18,2014-01-01,Saturday,Little Portugal (84),120,Residential Structures,-79.43032271138112,43.64753592717682
2014-01-09,2014-01-01,Thursday,Dovercourt-Wallace Emerson-Junction (93),350,Residential Structures,-79.43854070116043,43.6656769257464
2014-01-17,2014-01-01,Friday,Kensington-Chinatown (78),100,Open/Public Spaces,-79.39723987739471,43.6535541286232
2014-01-09,2014-01-01,Thursday,Trinity-Bellwoods (81),2000,Residential Structures,-79.4153421638998,43.65017629672643
2014-01-05,2014-01-01,Sunday,Cabbagetown-South St.James Town (71),1800,Commercial Areas,-79.36610665903528,43.66764772385686
2014-01-25,2014-01-01,Saturday,Waterfront Communities-The Island (77),10000,Commercial Areas,-79.3772023229936,43.633880327159524
2014-01-27,2014-01-01,Monday,Cabbagetown-South St.James Town (71),1600,Commercial Areas,-79.36610665903528,43.66764772385686
2014-01-28,2014-01-01,Tuesday,Mount Pleasant West (104),1000,Commercial Areas,-79.3933595525685,43.70443516328523
2014-01-27,2014-01-01,Monday,Cabbagetown-South St.James Town (71),1100,Commercial Areas,-79.36610665903528,43.66764772385686
2014-01-29,2014-01-01,Wednesday,Junction Area (90),1800,Commercial Areas,-79.47143987276426,43.667889760215104
2014-02-01,2014-01-01,Saturday,Moss Park (73),850,Commercial Areas,-79.36729702995146,43.656517618834606
2014-02-03,2014-01-01,Monday,Bedford Park-Nortown (39),1400,Residential Structures,-79.42022735886505,43.73148619626069
2014-01-27,2014-01-01,Monday,Dovercourt-Wallace Emerson-Junction (93),400,Residential Structures,-79.43854070116043,43.6656769257464
2014-02-04,2014-01-01,Tuesday,Cabbagetown-South St.James Town (71),400,Commercial Areas,-79.36610665903528,43.66764772385686
2014-01-31,2014-01-01,Friday,Rockcliffe-Smythe (111),500,Residential Structures,-79.49442045588019,43.67479044210717
2014-02-04,2014-01-01,Tuesday,South Parkdale (85),2000,Residential Structures,-79.4393378322998,43.636699519318434
2014-01-25,2014-01-01,Saturday,Bay Street Corridor (76),9423,Commercial Areas,-79.38572124534863,43.657511330997565
2014-02-07,2014-01-01,Friday,Playter Estates-Danforth (67),2500,Commercial Areas,-79.35488728710035,43.67970046819963
2014-02-07,2014-01-01,Friday,Playter Estates-Danforth (67),4000,Commercial Areas,-79.35488728710035,43.67970046819963
2014-02-11,2014-01-01,Tuesday,Thorncliffe Park (55),3300,Commercial Areas,-79.34998360500312,43.70774920521462
2014-01-01,2014-01-01,Wednesday,Bay Street Corridor (76),1750,Residential Structures,-79.38572124534863,43.657511330997565
2014-02-12,2014-01-01,Wednesday,Corso Italia-Davenport (92),1700,Commercial Areas,-79.44746932943953,43.67766090308253
2014-02-15,2014-04-01,Saturday,Kensington-Chinatown (78),200,Open/Public Spaces,-79.39723987739471,43.6535541286232
2014-02-16,2014-04-01,Sunday,Cabbagetown-South St.James Town (71),500,Residential Structures,-79.36610665903528,43.66764772385686
2014-01-15,2014-01-01,Wednesday,South Riverdale (70),700,Residential Structures,-79.33565132290826,43.6492919996662
2014-02-14,2014-01-01,Friday,University (79),100,Open/Public Spaces,-79.40117974868369,43.66250619981047
2014-02-16,2014-04-01,Sunday,Weston (113),1500,Open/Public Spaces,-79.51572254704779,43.70271604054647
2014-02-16,2014-04-01,Sunday,Church-Yonge Corridor (75),150,Commercial Areas,-79.37901716162628,43.659648849449276
2014-02-19,2014-04-01,Wednesday,Trinity-Bellwoods (81),0,Residential Structures,-79.4153421638998,43.65017629672643
2014-02-24,2014-04-01,Monday,High Park North (88),0,Open/Public Spaces,-79.46630216770625,43.65756491093699
2014-02-24,2014-04-01,Monday,Mount Olive-Silverstone-Jamestown (2),2000,Residential Structures,-79.58725925980302,43.74686777792156
2014-01-18,2014-01-01,Saturday,Bay Street Corridor (76),1400,Residential Structures,-79.38572124534863,43.657511330997565
2014-02-25,2014-04-01,Tuesday,Church-Yonge Corridor (75),700,Open/Public Spaces,-79.37901716162628,43.659648849449276
2014-02-23,2014-04-01,Sunday,Dovercourt-Wallace Emerson-Junction (93),1850,Residential Structures,-79.43854070116043,43.6656769257464
2014-02-23,2014-04-01,Sunday,Dovercourt-Wallace Emerson-Junction (93),300,Residential Structures,-79.43854070116043,43.6656769257464
2014-02-23,2014-04-01,Sunday,Dovercourt-Wallace Emerson-Junction (93),1000,Residential Structures,-79.43854070116043,43.6656769257464
2014-03-03,2014-04-01,Monday,Regent Park (72),1500,Others,-79.3605088053568,43.659992140783885
2014-03-03,2014-04-01,Monday,Church-Yonge Corridor (75),80,Open/Public Spaces,-79.37901716162628,43.659648849449276
2014-03-04,2014-04-01,Tuesday,East End-Danforth (62),800,Commercial Areas,-79.29935867382727,43.68417387262764
2014-03-05,2014-04-01,Wednesday,Church-Yonge Corridor (75),2000,Residential Structures,-79.37901716162628,43.659648849449276
2014-03-06,2014-04-01,Thursday,Moss Park (73),2000,Open/Public Spaces,-79.36729702995146,43.656517618834606
2014-03-05,2014-04-01,Wednesday,Bay Street Corridor (76),550,Commercial Areas,-79.38572124534863,43.657511330997565
2014-03-05,2014-04-01,Wednesday,Bay Street Corridor (76),350,Commercial Areas,-79.38572124534863,43.657511330997565
2014-03-07,2014-04-01,Friday,North Riverdale (68),400,Residential Structures,-79.35126041348335,43.67199514515696
2014-03-05,2014-04-01,Wednesday,Moss Park (73),500,Open/Public Spaces,-79.36729702995146,43.656517618834606
2014-03-08,2014-04-01,Saturday,Leaside-Bennington (56),2500,Residential Structures,-79.36607234417629,43.703796594874674
2014-03-08,2014-04-01,Saturday,Bay Street Corridor (76),500,Open/Public Spaces,-79.38572124534863,43.657511330997565
2014-02-23,2014-04-01,Sunday,Junction Area (90),500,Residential Structures,-79.47143987276426,43.667889760215104
2014-03-08,2014-04-01,Saturday,Annex (95),1600,Open/Public Spaces,-79.40400062928025,43.67158543003155
2014-03-08,2014-04-01,Saturday,Cabbagetown-South St.James Town (71),2000,Commercial Areas,-79.36610665903528,43.66764772385686
2014-03-07,2014-04-01,Friday,Bay Street Corridor (76),700,Open/Public Spaces,-79.38572124534863,43.657511330997565
2014-03-10,2014-04-01,Monday,North St.James Town (74),200,Residential Structures,-79.37524657752182,43.669623407232905
2014-03-10,2014-04-01,Monday,Runnymede-Bloor West Village (89),300,Residential Structures,-79.48570817771532,43.65926881162892
2014-03-10,2014-04-01,Monday,Runnymede-Bloor West Village (89),400,Residential Structures,-79.48570817771532,43.65926881162892
2014-03-10,2014-04-01,Monday,Moss Park (73),500,Commercial Areas,-79.36729702995146,43.656517618834606
2014-01-15,2014-01-01,Wednesday,South Riverdale (70),400,Transportation,-79.33565132290826,43.6492919996662
2014-03-11,2014-04-01,Tuesday,Greenwood-Coxwell (65),1000,Commercial Areas,-79.32431802090154,43.67261230021652
2014-03-08,2014-04-01,Saturday,Birchcliffe-Cliffside (122),500,Open/Public Spaces,-79.26509262187423,43.69468193885
2014-03-12,2014-04-01,Wednesday,Annex (95),250,Group/Shared Home,-79.40400062928025,43.67158543003155
2014-03-16,2014-04-01,Sunday,North St.James Town (74),500,Open/Public Spaces,-79.37524657752182,43.669623407232905
2014-03-16,2014-04-01,Sunday,Don Valley Village (47),300,Residential Structures,-79.35364413195393,43.783293676309825
2014-03-19,2014-04-01,Wednesday,Church-Yonge Corridor (75),300,Commercial Areas,-79.37901716162628,43.659648849449276
2014-03-20,2014-04-01,Thursday,Cabbagetown-South St.James Town (71),895,Open/Public Spaces,-79.36610665903528,43.66764772385686
2014-03-10,2014-04-01,Monday,Mount Pleasant West (104),200,Residential Structures,-79.3933595525685,43.70443516328523
2014-03-19,2014-04-01,Wednesday,Leaside-Bennington (56),300,Residential Structures,-79.36607234417629,43.703796594874674
2014-03-19,2014-04-01,Wednesday,Bay Street Corridor (76),100,Open/Public Spaces,-79.38572124534863,43.657511330997565
2014-03-14,2014-04-01,Friday,Church-Yonge Corridor (75),1000,Open/Public Spaces,-79.37901716162628,43.659648849449276
2014-03-19,2014-04-01,Wednesday,Leaside-Bennington (56),400,Residential Structures,-79.36607234417629,43.703796594874674
2014-03-21,2014-04-01,Friday,Briar Hill-Belgravia (108),200,Residential Structures,-79.45285129984684,43.69902437760449
2014-03-23,2014-04-01,Sunday,Annex (95),932.25,Open/Public Spaces,-79.40400062928025,43.67158543003155
2014-03-23,2014-04-01,Sunday,Markland Wood (12),500,Residential Structures,-79.57343154487708,43.63354173983873
2014-03-24,2014-04-01,Monday,Church-Yonge Corridor (75),1800,Open/Public Spaces,-79.37901716162628,43.659648849449276
2014-03-25,2014-04-01,Tuesday,Bay Street Corridor (76),800,Commercial Areas,-79.38572124534863,43.657511330997565
2014-01-11,2014-01-01,Saturday,Waterfront Communities-The Island (77),2500,Commercial Areas,-79.3772023229936,43.633880327159524
2014-03-27,2014-04-01,Thursday,Church-Yonge Corridor (75),3000,Open/Public Spaces,-79.37901716162628,43.659648849449276
2014-03-27,2014-04-01,Thursday,Kensington-Chinatown (78),0,Commercial Areas,-79.39723987739471,43.6535541286232
2014-03-27,2014-04-01,Thursday,O'Connor-Parkview (54),2000,Commercial Areas,-79.31222776491182,43.70680048177226
2014-03-28,2014-04-01,Friday,Church-Yonge Corridor (75),800,Open/Public Spaces,-79.37901716162628,43.659648849449276
2014-03-18,2014-04-01,Tuesday,Leaside-Bennington (56),2000,Residential Structures,-79.36607234417629,43.703796594874674
2014-03-29,2014-04-01,Saturday,Cabbagetown-South St.James Town (71),800,Open/Public Spaces,-79.36610665903528,43.66764772385686
2014-03-25,2014-04-01,Tuesday,Rosedale-Moore Park (98),1025,Open/Public Spaces,-79.37966939989423,43.6828204124932
2014-03-30,2014-04-01,Sunday,Church-Yonge Corridor (75),350,Commercial Areas,-79.37901716162628,43.659648849449276
2014-03-30,2014-04-01,Sunday,Greenwood-Coxwell (65),1050,Residential Structures,-79.32431802090154,43.67261230021652
2014-03-30,2014-04-01,Sunday,Playter Estates-Danforth (67),200,Commercial Areas,-79.35488728710035,43.67970046819963
2014-03-25,2014-04-01,Tuesday,Briar Hill-Belgravia (108),2500,Residential Structures,-79.45285129984684,43.69902437760449
2014-03-31,2014-04-01,Monday,Palmerston-Little Italy (80),200,Open/Public Spaces,-79.4184087281674,43.65915710120554
2014-01-31,2014-01-01,Friday,Church-Yonge Corridor (75),1815,Commercial Areas,-79.37901716162628,43.659648849449276
2014-04-01,2014-04-01,Tuesday,South Riverdale (70),1400,Residential Structures,-79.33565132290826,43.6492919996662
2014-04-01,2014-04-01,Tuesday,Blake-Jones (69),1300,Open/Public Spaces,-79.3373941737337,43.676172877463664
2014-03-31,2014-04-01,Monday,Islington-City Centre West (14),600,Transportation,-79.54331653804603,43.633463294702935
2014-04-03,2014-04-01,Thursday,High Park North (88),1300,Residential Structures,-79.46630216770625,43.65756491093699
2014-04-03,2014-04-01,Thursday,Greenwood-Coxwell (65),650,Residential Structures,-79.32431802090154,43.67261230021652
2014-04-03,2014-04-01,Thursday,Blake-Jones (69),1300,Public Institutions,-79.3373941737337,43.676172877463664
2014-01-27,2014-01-01,Monday,Church-Yonge Corridor (75),2484.87,Residential Structures,-79.37901716162628,43.659648849449276
2014-04-04,2014-04-01,Friday,Cabbagetown-South St.James Town (71),1000,Residential Structures,-79.36610665903528,43.66764772385686
2014-04-02,2014-04-01,Wednesday,Blake-Jones (69),600,Residential Structures,-79.3373941737337,43.676172877463664
2014-04-05,2014-04-01,Saturday,Rockcliffe-Smythe (111),1000,Residential Structures,-79.49442045588019,43.67479044210717
2014-04-04,2014-04-01,Friday,Blake-Jones (69),1300,Residential Structures,-79.3373941737337,43.676172877463664
2014-04-04,2014-04-01,Friday,Little Portugal (84),500,Residential Structures,-79.43032271138112,43.64753592717682
2014-04-05,2014-04-01,Saturday,Church-Yonge Corridor (75),100,Open/Public Spaces,-79.37901716162628,43.659648849449276
2014-04-06,2014-04-01,Sunday,Waterfront Communities-The Island (77),700,Open/Public Spaces,-79.3772023229936,43.633880327159524
2014-04-08,2014-04-01,Tuesday,Church-Yonge Corridor (75),800,Open/Public Spaces,-79.37901716162628,43.659648849449276
2014-03-06,2014-04-01,Thursday,Church-Yonge Corridor (75),70,Open/Public Spaces,-79.37901716162628,43.659648849449276
2014-04-08,2014-04-01,Tuesday,Church-Yonge Corridor (75),1100,Open/Public Spaces,-79.37901716162628,43.659648849449276
2014-04-08,2014-04-01,Tuesday,Church-Yonge Corridor (75),1300,Open/Public Spaces,-79.37901716162628,43.659648849449276
2014-04-07,2014-04-01,Monday,Moss Park (73),1300,Residential Structures,-79.36729702995146,43.656517618834606
2014-04-03,2014-04-01,Thursday,South Parkdale (85),4000,Open/Public Spaces,-79.4393378322998,43.636699519318434
2014-04-09,2014-04-01,Wednesday,Palmerston-Little Italy (80),1000,Commercial Areas,-79.4184087281674,43.65915710120554
2014-04-08,2014-04-01,Tuesday,Bay Street Corridor (76),200,Commercial Areas,-79.38572124534863,43.657511330997565
2014-04-09,2014-04-01,Wednesday,Dufferin Grove (83),350,Residential Structures,-79.43734103751373,43.655428330164874
2014-04-08,2014-04-01,Tuesday,Waterfront Communities-The Island (77),850,Commercial Areas,-79.3772023229936,43.633880327159524
2014-04-10,2014-04-01,Thursday,Kensington-Chinatown (78),700,Open/Public Spaces,-79.39723987739471,43.6535541286232
2014-04-09,2014-04-01,Wednesday,Waterfront Communities-The Island (77),600,Residential Structures,-79.3772023229936,43.633880327159524
2014-04-11,2014-04-01,Friday,Bay Street Corridor (76),200,Public Institutions,-79.38572124534863,43.657511330997565
2014-04-11,2014-04-01,Friday,Church-Yonge Corridor (75),600,Open/Public Spaces,-79.37901716162628,43.659648849449276
2014-04-10,2014-04-01,Thursday,Church-Yonge Corridor (75),900,Residential Structures,-79.37901716162628,43.659648849449276
2014-04-10,2014-04-01,Thursday,Rouge (131),750,Transportation,-79.18634336248219,43.821201153632124
2014-04-11,2014-04-01,Friday,Rosedale-Moore Park (98),1000,Open/Public Spaces,-79.37966939989423,43.6828204124932
2014-04-11,2014-04-01,Friday,Mount Pleasant West (104),800,Open/Public Spaces,-79.3933595525685,43.70443516328523
2014-04-11,2014-04-01,Friday,Oakwood Village (107),550,Residential Structures,-79.43978547678283,43.68856555117282
2014-04-11,2014-04-01,Friday,Bay Street Corridor (76),2100,Residential Structures,-79.38572124534863,43.657511330997565
2014-04-06,2014-04-01,Sunday,Bay Street Corridor (76),1464.75,Commercial Areas,-79.38572124534863,43.657511330997565
2014-04-11,2014-04-01,Friday,Leaside-Bennington (56),700,Residential Structures,-79.36607234417629,43.703796594874674
2014-04-10,2014-04-01,Thursday,Waterfront Communities-The Island (77),600,Open/Public Spaces,-79.3772023229936,43.633880327159524
2014-04-12,2014-04-01,Saturday,Bay Street Corridor (76),800,Open/Public Spaces,-79.38572124534863,43.657511330997565
2014-04-12,2014-04-01,Saturday,Kensington-Chinatown (78),550,Open/Public Spaces,-79.39723987739471,43.6535541286232
2014-04-13,2014-04-01,Sunday,Niagara (82),700,Open/Public Spaces,-79.41242040394009,43.63668087060661
2014-04-13,2014-04-01,Sunday,Wychwood (94),400,Residential Structures,-79.42551494769461,43.67691926447834
2014-03-14,2014-04-01,Friday,Thorncliffe Park (55),72,Commercial Areas,-79.34998360500312,43.70774920521462
2014-04-13,2014-04-01,Sunday,Bay Street Corridor (76),0,Commercial Areas,-79.38572124534863,43.657511330997565
2014-04-13,2014-04-01,Sunday,Trinity-Bellwoods (81),600,Open/Public Spaces,-79.4153421638998,43.65017629672643
2014-04-12,2014-04-01,Saturday,Kensington-Chinatown (78),600,Commercial Areas,-79.39723987739471,43.6535541286232
2014-04-12,2014-04-01,Saturday,Kensington-Chinatown (78),719,Commercial Areas,-79.39723987739471,43.6535541286232
2014-04-13,2014-04-01,Sunday,Dufferin Grove (83),500,Residential Structures,-79.43734103751373,43.655428330164874
2014-04-14,2014-04-01,Monday,Church-Yonge Corridor (75),1500,Commercial Areas,-79.37901716162628,43.659648849449276
2014-04-15,2014-04-01,Tuesday,Regent Park (72),4000,Open/Public Spaces,-79.3605088053568,43.659992140783885
2014-04-09,2014-04-01,Wednesday,Waterfront Communities-The Island (77),6789,Residential Structures,-79.3772023229936,43.633880327159524
2014-04-10,2014-04-01,Thursday,Trinity-Bellwoods (81),175,Open/Public Spaces,-79.4153421638998,43.65017629672643
2014-04-15,2014-04-01,Tuesday,Rosedale-Moore Park (98),500,Commercial Areas,-79.37966939989423,43.6828204124932
2014-04-10,2014-04-01,Thursday,Moss Park (73),700,Commercial Areas,-79.36729702995146,43.656517618834606
2014-04-07,2014-04-01,Monday,Cabbagetown-South St.James Town (71),600,Open/Public Spaces,-79.36610665903528,43.66764772385686
2014-04-07,2014-04-01,Monday,Leaside-Bennington (56),883.15,Residential Structures,-79.36607234417629,43.703796594874674
2014-04-16,2014-04-01,Wednesday,Kensington-Chinatown (78),40,Open/Public Spaces,-79.39723987739471,43.6535541286232
2014-04-07,2014-04-01,Monday,Leaside-Bennington (56),827.95,Residential Structures,-79.36607234417629,43.703796594874674
2014-04-17,2014-04-01,Thursday,Kensington-Chinatown (78),1000,Open/Public Spaces,-79.39723987739471,43.6535541286232
2014-04-16,2014-04-01,Wednesday,University (79),750,Commercial Areas,-79.40117974868369,43.66250619981047
2014-04-16,2014-04-01,Wednesday,Roncesvalles (86),200,Open/Public Spaces,-79.44299244306902,43.64612298805443
2014-04-17,2014-04-01,Thursday,Church-Yonge Corridor (75),500,Commercial Areas,-79.37901716162628,43.659648849449276
2014-04-17,2014-04-01,Thursday,Trinity-Bellwoods (81),600,Commercial Areas,-79.4153421638998,43.65017629672643
2014-04-18,2014-04-01,Friday,Kensington-Chinatown (78),400,Open/Public Spaces,-79.39723987739471,43.6535541286232
2014-04-17,2014-04-01,Thursday,North St.James Town (74),600,Commercial Areas,-79.37524657752182,43.669623407232905
2014-04-17,2014-04-01,Thursday,Playter Estates-Danforth (67),500,Residential Structures,-79.35488728710035,43.67970046819963
2014-04-19,2014-04-01,Saturday,Church-Yonge Corridor (75),1300,Open/Public Spaces,-79.37901716162628,43.659648849449276
2014-04-17,2014-04-01,Thursday,Bay Street Corridor (76),0,Commercial Areas,-79.38572124534863,43.657511330997565
2014-04-18,2014-04-01,Friday,High Park North (88),600,Transportation,-79.46630216770625,43.65756491093699
2014-04-18,2014-04-01,Friday,Wychwood (94),400,Residential Structures,-79.42551494769461,43.67691926447834
2014-04-19,2014-04-01,Saturday,Rosedale-Moore Park (98),700,Open/Public Spaces,-79.37966939989423,43.6828204124932
2014-04-20,2014-04-01,Sunday,Waterfront Communities-The Island (77),630,Commercial Areas,-79.3772023229936,43.633880327159524
2014-04-20,2014-04-01,Sunday,Church-Yonge Corridor (75),300,Residential Structures,-79.37901716162628,43.659648849449276
2014-04-18,2014-04-01,Friday,Leaside-Bennington (56),860,Residential Structures,-79.36607234417629,43.703796594874674
2014-04-18,2014-04-01,Friday,North Riverdale (68),900,Residential Structures,-79.35126041348335,43.67199514515696
2014-04-18,2014-04-01,Friday,Leaside-Bennington (56),450,Residential Structures,-79.36607234417629,43.703796594874674
2014-04-18,2014-04-01,Friday,Leaside-Bennington (56),1000,Residential Structures,-79.36607234417629,43.703796594874674
2014-04-21,2014-04-01,Monday,Mimico (includes Humber Bay Shores) (17),10,Open/Public Spaces,-79.50013665098422,43.61592384473713
2014-04-21,2014-04-01,Monday,Mimico (includes Humber Bay Shores) (17),10,Open/Public Spaces,-79.50013665098422,43.61592384473713
2014-04-19,2014-04-01,Saturday,Dovercourt-Wallace Emerson-Junction (93),600,Residential Structures,-79.43854070116043,43.6656769257464
2014-02-17,2014-04-01,Monday,Willowdale East (51),1335,Residential Structures,-79.40148379055928,43.770602244553096
2014-02-27,2014-04-01,Thursday,Church-Yonge Corridor (75),900,Residential Structures,-79.37901716162628,43.659648849449276
2014-04-21,2014-04-01,Monday,Dovercourt-Wallace Emerson-Junction (93),0,Residential Structures,-79.43854070116043,43.6656769257464
2014-04-22,2014-04-01,Tuesday,Bendale (127),600,Commercial Areas,-79.25740036192514,43.760366271465735
2014-04-21,2014-04-01,Monday,Niagara (82),1200,Open/Public Spaces,-79.41242040394009,43.63668087060661
2014-04-21,2014-04-01,Monday,Bay Street Corridor (76),500,Open/Public Spaces,-79.38572124534863,43.657511330997565
2014-04-11,2014-04-01,Friday,Dovercourt-Wallace Emerson-Junction (93),350,Residential Structures,-79.43854070116043,43.6656769257464
2014-04-20,2014-04-01,Sunday,Waterfront Communities-The Island (77),300,Commercial Areas,-79.3772023229936,43.633880327159524
2014-04-22,2014-04-01,Tuesday,Dovercourt-Wallace Emerson-Junction (93),1000,Residential Structures,-79.43854070116043,43.6656769257464
2014-04-11,2014-04-01,Friday,Bay Street Corridor (76),450,Residential Structures,-79.38572124534863,43.657511330997565
2014-04-12,2014-04-01,Saturday,Church-Yonge Corridor (75),1500,Residential Structures,-79.37901716162628,43.659648849449276
2014-04-23,2014-04-01,Wednesday,Rosedale-Moore Park (98),2000,Commercial Areas,-79.37966939989423,43.6828204124932
2014-04-22,2014-04-01,Tuesday,Annex (95),350,Commercial Areas,-79.40400062928025,43.67158543003155
2014-04-22,2014-04-01,Tuesday,University (79),150,Commercial Areas,-79.40117974868369,43.66250619981047
2014-04-21,2014-04-01,Monday,University (79),2000,Commercial Areas,-79.40117974868369,43.66250619981047
2014-04-23,2014-04-01,Wednesday,East End-Danforth (62),650,Residential Structures,-79.29935867382727,43.68417387262764
2014-04-22,2014-04-01,Tuesday,University (79),100,Commercial Areas,-79.40117974868369,43.66250619981047
2014-04-20,2014-04-01,Sunday,South Riverdale (70),3000,Residential Structures,-79.33565132290826,43.6492919996662
2014-04-24,2014-04-01,Thursday,Little Portugal (84),10,Residential Structures,-79.43032271138112,43.64753592717682
2014-04-25,2014-04-01,Friday,Waterfront Communities-The Island (77),960,Open/Public Spaces,-79.3772023229936,43.633880327159524
2014-04-25,2014-04-01,Friday,Church-Yonge Corridor (75),300,Commercial Areas,-79.37901716162628,43.659648849449276
2014-04-25,2014-04-01,Friday,Niagara (82),789.87,Residential Structures,-79.41242040394009,43.63668087060661
2014-04-26,2014-04-01,Saturday,Moss Park (73),465,Residential Structures,-79.36729702995146,43.656517618834606
2014-04-27,2014-04-01,Sunday,Corso Italia-Davenport (92),500,Residential Structures,-79.44746932943953,43.67766090308253
2014-04-26,2014-04-01,Saturday,Dufferin Grove (83),800,Commercial Areas,-79.43734103751373,43.655428330164874
2014-04-19,2014-04-01,Saturday,Dovercourt-Wallace Emerson-Junction (93),0,Open/Public Spaces,-79.43854070116043,43.6656769257464
2014-04-22,2014-04-01,Tuesday,Annex (95),350,Open/Public Spaces,-79.40400062928025,43.67158543003155
2014-04-25,2014-04-01,Friday,Roncesvalles (86),320,Residential Structures,-79.44299244306902,43.64612298805443
2014-04-22,2014-04-01,Tuesday,Niagara (82),200,Residential Structures,-79.41242040394009,43.63668087060661
2014-04-28,2014-04-01,Monday,Church-Yonge Corridor (75),500,Commercial Areas,-79.37901716162628,43.659648849449276
2014-04-28,2014-04-01,Monday,Bay Street Corridor (76),350,Commercial Areas,-79.38572124534863,43.657511330997565
2014-04-28,2014-04-01,Monday,Etobicoke West Mall (13),399.99,Commercial Areas,-79.56893876872303,43.64506261667645
2014-04-30,2014-04-01,Wednesday,Church-Yonge Corridor (75),870,Open/Public Spaces,-79.37901716162628,43.659648849449276
2014-04-27,2014-04-01,Sunday,Bay Street Corridor (76),620,Commercial Areas,-79.38572124534863,43.657511330997565
2014-03-02,2014-04-01,Sunday,North Riverdale (68),500,Residential Structures,-79.35126041348335,43.67199514515696
2014-03-02,2014-04-01,Sunday,North Riverdale (68),500,Residential Structures,-79.35126041348335,43.67199514515696
2014-04-26,2014-04-01,Saturday,Church-Yonge Corridor (75),130,Residential Structures,-79.37901716162628,43.659648849449276
2014-04-30,2014-04-01,Wednesday,Oakwood Village (107),2500,Residential Structures,-79.43978547678283,43.68856555117282
2014-05-01,2014-04-01,Thursday,Palmerston-Little Italy (80),800,Public Institutions,-79.4184087281674,43.65915710120554
2014-05-02,2014-04-01,Friday,Bay Street Corridor (76),1000,Residential Structures,-79.38572124534863,43.657511330997565
2014-05-03,2014-04-01,Saturday,South Riverdale (70),700,Commercial Areas,-79.33565132290826,43.6492919996662
2014-05-03,2014-04-01,Saturday,Dovercourt-Wallace Emerson-Junction (93),700,Open/Public Spaces,-79.43854070116043,43.6656769257464
2014-05-01,2014-04-01,Thursday,Leaside-Bennington (56),4319,Residential Structures,-79.36607234417629,43.703796594874674
2014-05-01,2014-04-01,Thursday,Leaside-Bennington (56),649,Residential Structures,-79.36607234417629,43.703796594874674
2014-05-02,2014-04-01,Friday,Birchcliffe-Cliffside (122),1200,Residential Structures,-79.26509262187423,43.69468193885
2014-05-04,2014-04-01,Sunday,Church-Yonge Corridor (75),800,Open/Public Spaces,-79.37901716162628,43.659648849449276
2014-05-04,2014-04-01,Sunday,Church-Yonge Corridor (75),1000,Open/Public Spaces,-79.37901716162628,43.659648849449276
2014-05-05,2014-04-01,Monday,Church-Yonge Corridor (75),350,Open/Public Spaces,-79.37901716162628,43.659648849449276
2014-05-05,2014-04-01,Monday,Moss Park (73),375,Open/Public Spaces,-79.36729702995146,43.656517618834606
2014-05-05,2014-04-01,Monday,West Hill (136),160,Commercial Areas,-79.17667602852293,43.767490240825325
2014-05-04,2014-04-01,Sunday,Church-Yonge Corridor (75),150,Commercial Areas,-79.37901716162628,43.659648849449276
2014-04-28,2014-04-01,Monday,North St.James Town (74),3500,Commercial Areas,-79.37524657752182,43.669623407232905
